accession,full_header,dist_HvCHS2,dist_CpCHS1,dist_PmSPS1,dist_PhCHS,dist_MsCHS,caffeoyl_anchor_min_dist,pcoumaroyl_anchor_min_dist,differential_score,triad_intact,residue_tier,organism,protein_name
A0AA38R120,tr|A0AA38R120|A0AA38R120_9PEZI,3.6343,3.9729,3.8178,3.7058,3.7748,3.6343,3.7058,-0.0715,True,B_aliphatic_gatekeeper,Coniochaeta hoffmannii,Thiolase-like protein
A0AAN6TAE1,tr|A0AAN6TAE1|A0AAN6TAE1_9PEZI,3.7094,4.0479,3.8928,3.7808,3.8499,3.7094,3.7808,-0.0715,True,B_aliphatic_gatekeeper,Canariomyces notabilis,Thiolase-like protein
A0AAN6PYX2,tr|A0AAN6PYX2|A0AAN6PYX2_9PEZI,3.8225,4.1611,4.006,3.894,3.9631,3.8225,3.894,-0.0715,True,B_aliphatic_gatekeeper,Parathielavia hyrcaniae,Thiolase-like protein
A0AAE0LPV4,tr|A0AAE0LPV4|A0AAE0LPV4_9PEZI,3.8275,4.1661,4.011,3.899,3.968,3.8275,3.899,-0.0715,True,B_aliphatic_gatekeeper,Chaetomium fimeti,Thiolase-like protein
A0ACB7NUY9,tr|A0ACB7NUY9|A0ACB7NUY9_9PEZI,3.8506,4.1892,4.0341,3.9221,3.9911,3.8506,3.9221,-0.0715,True,B_aliphatic_gatekeeper,Chaetomium tenue,Thiolase-like protein
Q2GSX0,tr|Q2GSX0|Q2GSX0_CHAGB,3.8506,4.1891,4.034,3.922,3.9911,3.8506,3.922,-0.0715,False,D_broken_triad,Chaetomium globosum (strain ATCC 6205 / CBS 148.51 / DSM 1962 / NBRC 6347 / NRRL 1970),Chalcone/stilbene synthase N-terminal domain-containing protein
A0AAN7HSL5,tr|A0AAN7HSL5|A0AAN7HSL5_9PEZI,3.8928,4.2314,4.0763,3.9643,4.0334,3.8928,3.9643,-0.0715,True,B_aliphatic_gatekeeper,Corynascus novoguineensis,Thiolase-like protein
G2QF11,tr|G2QF11|G2QF11_THET4,3.9098,4.2484,4.0933,3.9813,4.0503,3.9098,3.9813,-0.0715,True,B_aliphatic_gatekeeper,Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799),Uncharacterized protein
A0AAD4HZA6,tr|A0AAD4HZA6|A0AAD4HZA6_9PEZI,3.7843,4.1229,3.9678,3.8558,3.9248,3.7843,3.8558,-0.0715,True,B_aliphatic_gatekeeper,Staphylotrichum longicolle,Uncharacterized protein
A0AAN6MFP4,tr|A0AAN6MFP4|A0AAN6MFP4_9PEZI,3.8089,4.1475,3.9924,3.8804,3.9495,3.8089,3.8804,-0.0715,True,B_aliphatic_gatekeeper,Staphylotrichum tortipilum,Thiolase-like protein
G2QSN3,tr|G2QSN3|G2QSN3_THETT,3.7091,4.0476,3.8926,3.7806,3.8496,3.7091,3.7806,-0.0715,True,B_aliphatic_gatekeeper,Thermothielavioides terrestris (strain ATCC 38088 / NRRL 8126),Uncharacterized protein
A0AAN6UE56,tr|A0AAN6UE56|A0AAN6UE56_9PEZI,3.7456,4.0841,3.929,3.817,3.8861,3.7456,3.817,-0.0715,True,B_aliphatic_gatekeeper,Trichocladium antarcticum,Polyketide synthase
A0A175VUX0,tr|A0A175VUX0|A0A175VUX0_9PEZI,3.7227,4.0612,3.9061,3.7941,3.8632,3.7227,3.7941,-0.0715,False,D_broken_triad,Madurella mycetomatis,Chalcone synthase G
A0ABQ0GDY7,tr|A0ABQ0GDY7|A0ABQ0GDY7_9PEZI,3.7066,4.0452,3.8901,3.7781,3.8471,3.7066,3.7781,-0.0715,True,B_aliphatic_gatekeeper,Madurella fahalii,Chalcone synthase
A0AAV9HPF1,tr|A0AAV9HPF1|A0AAV9HPF1_9PEZI,3.7121,4.0507,3.8956,3.7836,3.8526,3.7121,3.7836,-0.0715,True,B_aliphatic_gatekeeper,Cladorrhinum samala,Thiolase-like protein
A0AAN6W7J5,tr|A0AAN6W7J5|A0AAN6W7J5_9PEZI,3.8017,4.1402,3.9852,3.8732,3.9422,3.8017,3.8732,-0.0715,True,B_aliphatic_gatekeeper,Triangularia setosa,Chalcone synthase
A0AA40DKI2,tr|A0AA40DKI2|A0AA40DKI2_9PEZI,3.8344,4.1729,4.0178,3.9058,3.9749,3.8344,3.9058,-0.0715,True,B_aliphatic_gatekeeper,Apiosordaria backusii,Thiolase-like protein
A0AAN6XI80,tr|A0AAN6XI80|A0AAN6XI80_9PEZI,3.7873,4.1259,3.9708,3.8588,3.9279,3.7873,3.8588,-0.0715,True,B_aliphatic_gatekeeper,Triangularia verruculosa,Thiolase-like protein
A0ABR0GFR3,tr|A0ABR0GFR3|A0ABR0GFR3_9PEZI,3.7635,4.1021,3.947,3.835,3.9041,3.7635,3.835,-0.0715,True,B_aliphatic_gatekeeper,Podospora pseudocomata,Chalcone synthase
B2AQY4,tr|B2AQY4|B2AQY4_PODAN,3.7363,4.0748,3.9197,3.8077,3.8768,3.7363,3.8077,-0.0715,True,B_aliphatic_gatekeeper,Podospora anserina (strain S / ATCC MYA-4624 / DSM 980 / FGSC 10383),Chalcone synthase
A0AA39ZKT9,tr|A0AA39ZKT9|A0AA39ZKT9_9PEZI,3.7057,4.0442,3.8891,3.7771,3.8462,3.7057,3.7771,-0.0715,True,B_aliphatic_gatekeeper,Cercophora samala,Chalcone synthase
A0AAN6WVW8,tr|A0AAN6WVW8|A0AAN6WVW8_9PEZI,3.6396,3.9782,3.8231,3.7111,3.7801,3.6396,3.7111,-0.0715,True,B_aliphatic_gatekeeper,Podospora australis,Chalcone synthase
A0AAJ0BM31,tr|A0AAJ0BM31|A0AAJ0BM31_9PEZI,3.5691,3.9077,3.7526,3.6406,3.7097,3.5691,3.6406,-0.0715,True,B_aliphatic_gatekeeper,Echria macrotheca,Thiolase-like protein (Fragment)
A0AA40K2Q8,tr|A0AA40K2Q8|A0AA40K2Q8_9PEZI,3.7134,4.0519,3.8968,3.7848,3.8539,3.7134,3.7848,-0.0715,True,B_aliphatic_gatekeeper,Schizothecium vesticola,Thiolase-like protein
A0AA40BXD3,tr|A0AA40BXD3|A0AA40BXD3_9PEZI,3.5809,3.9195,3.7644,3.6524,3.7214,3.5809,3.6524,-0.0715,True,B_aliphatic_gatekeeper,Immersiella caudata,Type III polyketide synthase
A0AA40CKY9,tr|A0AA40CKY9|A0AA40CKY9_9PEZI,3.5782,3.9168,3.7617,3.6497,3.7187,3.5782,3.6497,-0.0715,True,B_aliphatic_gatekeeper,Cercophora newfieldiana,Type III polyketide synthase
A0ABR3DA93,tr|A0ABR3DA93|A0ABR3DA93_NEUIN,3.5001,3.8387,3.6836,3.5716,3.6406,3.5001,3.5716,-0.0715,True,B_aliphatic_gatekeeper,Neurospora intermedia,Chalcone synthase
A0AAE0PMD5,tr|A0AAE0PMD5|A0AAE0PMD5_SORBR,3.5362,3.8748,3.7197,3.6077,3.6767,3.5362,3.6077,-0.0715,True,B_aliphatic_gatekeeper,Sordaria brevicollis,Type III polyketide synthase
F7VW59,tr|F7VW59|F7VW59_SORMK,3.5033,3.8419,3.6868,3.5748,3.6438,3.5033,3.5748,-0.0715,True,B_aliphatic_gatekeeper,Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell),Putative type III polyketide synthase
F0XBZ2,tr|F0XBZ2|F0XBZ2_GROCL,3.4484,3.7869,3.6318,3.5198,3.5889,3.4484,3.5198,-0.0715,True,B_aliphatic_gatekeeper,Grosmannia clavigera (strain kw1407 / UAMH 11150),A chain crystal structure of a type 3 polyketide synthase pksiiinc from neurospora crassa
A0A162JF80,tr|A0A162JF80|A0A162JF80_9HYPO,3.4682,3.8067,3.6516,3.5396,3.6087,3.4682,3.5396,-0.0715,True,B_aliphatic_gatekeeper,Niveomyces insectorum RCEF 264,Polyketide synthase
A0A0C2F5M0,tr|A0A0C2F5M0|A0A0C2F5M0_9PEZI,3.5187,3.8572,3.7021,3.5901,3.6592,3.5187,3.5901,-0.0715,True,B_aliphatic_gatekeeper,Sporothrix brasiliensis 5110,Type III polyketide synthase
A0ABR3ZGN9,tr|A0ABR3ZGN9|A0ABR3ZGN9_9PEZI,3.4899,3.8284,3.6733,3.5613,3.6304,3.4899,3.5613,-0.0715,True,B_aliphatic_gatekeeper,Sporothrix stenoceras,Chalcone synthase
A0ABP0BM14,tr|A0ABP0BM14|A0ABP0BM14_9PEZI,3.4836,3.8222,3.6671,3.5551,3.6241,3.4836,3.5551,-0.0715,True,B_aliphatic_gatekeeper,Sporothrix eucalyptigena,Chalcone synthase
A0ABP0BQ17,tr|A0ABP0BQ17|A0ABP0BQ17_9PEZI,3.5419,3.8805,3.7254,3.6134,3.6824,3.5419,3.6134,-0.0715,True,B_aliphatic_gatekeeper,Sporothrix curviconia,Chalcone synthase
A0ABP0D742,tr|A0ABP0D742|A0ABP0D742_9PEZI,3.5743,3.9128,3.7578,3.6458,3.7148,3.5743,3.6458,-0.0715,True,B_aliphatic_gatekeeper,Sporothrix epigloea,Chalcone synthase
A0ABP0D873,tr|A0ABP0D873|A0ABP0D873_9PEZI,3.5575,3.8961,3.741,3.629,3.698,3.5575,3.629,-0.0715,True,B_aliphatic_gatekeeper,Sporothrix epigloea,Chalcone synthase
A0ABP0BMR9,tr|A0ABP0BMR9|A0ABP0BMR9_9PEZI,3.4826,3.8212,3.6661,3.5541,3.6231,3.4826,3.5541,-0.0715,True,B_aliphatic_gatekeeper,Sporothrix bragantina,Chalcone synthase
S3CF48,tr|S3CF48|S3CF48_OPHP1,3.4817,3.8202,3.6651,3.5531,3.6222,3.4817,3.5531,-0.0715,True,B_aliphatic_gatekeeper,Ophiostoma piceae (strain UAMH 11346),Chalcone synthase c
A0AA38RV88,tr|A0AA38RV88|A0AA38RV88_9PEZI,3.3019,3.6405,3.4854,3.3734,3.4424,3.3019,3.3734,-0.0715,True,B_aliphatic_gatekeeper,Pleurostoma richardsiae,Chalcone and stilbene synthase
R8BSB6,tr|R8BSB6|R8BSB6_PHAM7,3.3723,3.7108,3.5558,3.4438,3.5128,3.3723,3.4438,-0.0715,True,B_aliphatic_gatekeeper,Phaeoacremonium minimum (strain UCR-PA7),Putative chalcone synthase c protein
A0A084AQX0,tr|A0A084AQX0|A0A084AQX0_STACB,3.3132,3.6518,3.4967,3.3847,3.4537,3.3132,3.3847,-0.0715,True,B_aliphatic_gatekeeper,Stachybotrys chartarum (strain CBS 109288 / IBT 7711),Uncharacterized protein
A0A8K0WR77,tr|A0A8K0WR77|A0A8K0WR77_9HYPO,3.2809,3.6195,3.4644,3.3524,3.4214,3.2809,3.3524,-0.0715,True,B_aliphatic_gatekeeper,Stachybotrys elegans,Thiolase-like protein
A0A9P9ATH1,tr|A0A9P9ATH1|A0A9P9ATH1_9HYPO,3.3258,3.6644,3.5093,3.3973,3.4663,3.3258,3.3973,-0.0715,True,B_aliphatic_gatekeeper,Thelonectria olida,Thiolase-like protein
A0A2K0UIX7,tr|A0A2K0UIX7|A0A2K0UIX7_GIBNY,3.4381,3.7766,3.6215,3.5095,3.5786,3.4381,3.5095,-0.0715,True,B_aliphatic_gatekeeper,Gibberella nygamai,Chalcone/stilbene synthase N-terminal domain-containing protein
A0A9P7H923,tr|A0A9P7H923|A0A9P7H923_9HYPO,3.4269,3.7655,3.6104,3.4984,3.5674,3.4269,3.4984,-0.0715,True,B_aliphatic_gatekeeper,Fusarium avenaceum,Uncharacterized protein
A0A8H4NL21,tr|A0A8H4NL21|A0A8H4NL21_9HYPO,3.4424,3.781,3.6259,3.5139,3.583,3.4424,3.5139,-0.0715,True,B_aliphatic_gatekeeper,Fusarium austroafricanum,Uncharacterized protein
A0A366SC95,tr|A0A366SC95|A0A366SC95_9HYPO,3.4641,3.8027,3.6476,3.5356,3.6047,3.4641,3.5356,-0.0715,True,B_aliphatic_gatekeeper,Fusarium coffeatum,Chalcone/stilbene synthase N-terminal domain-containing protein
A0A2T4GKI4,tr|A0A2T4GKI4|A0A2T4GKI4_FUSCU,3.4934,3.832,3.6769,3.5649,3.634,3.4934,3.5649,-0.0715,True,B_aliphatic_gatekeeper,Fusarium culmorum,Chalcone synthase
A0A1B8ASZ0,tr|A0A1B8ASZ0|A0A1B8ASZ0_FUSPO,3.507,3.8455,3.6904,3.5784,3.6475,3.507,3.5784,-0.0715,True,B_aliphatic_gatekeeper,Fusarium poae,Chalcone/stilbene synthase N-terminal domain-containing protein
A0A0N0DHY2,tr|A0A0N0DHY2|A0A0N0DHY2_FUSLA,3.5194,3.858,3.7029,3.5909,3.66,3.5194,3.5909,-0.0715,True,B_aliphatic_gatekeeper,Fusarium langsethiae,Stilbene synthase 3
A0A395SZF4,tr|A0A395SZF4|A0A395SZF4_9HYPO,3.4657,3.8042,3.6491,3.5371,3.6062,3.4657,3.5371,-0.0715,True,B_aliphatic_gatekeeper,Fusarium longipes,Stilbene synthase 3
A0A9P5E2B7,tr|A0A9P5E2B7|A0A9P5E2B7_9HYPO,3.48,3.8185,3.6635,3.5515,3.6205,3.48,3.5515,-0.0715,True,B_aliphatic_gatekeeper,Fusarium beomiforme,Stilbene synthase 2
A0A8H4X7Q3,tr|A0A8H4X7Q3|A0A8H4X7Q3_9HYPO,3.3977,3.7362,3.5811,3.4691,3.5382,3.3977,3.4691,-0.0715,True,B_aliphatic_gatekeeper,Fusarium sarcochroum,Uncharacterized protein
A0A8H4P7M9,tr|A0A8H4P7M9|A0A8H4P7M9_9HYPO,3.4004,3.7389,3.5838,3.4718,3.5409,3.4004,3.4718,-0.0715,True,B_aliphatic_gatekeeper,Fusarium albosuccineum,Uncharacterized protein
A0A8H4UM27,tr|A0A8H4UM27|A0A8H4UM27_9HYPO,3.454,3.7926,3.6375,3.5255,3.5945,3.454,3.5255,-0.0715,True,B_aliphatic_gatekeeper,Fusarium zealandicum,Uncharacterized protein
A0A9W8W6M8,tr|A0A9W8W6M8|A0A9W8W6M8_9HYPO,3.4481,3.7867,3.6316,3.5196,3.5886,3.4481,3.5196,-0.0715,True,B_aliphatic_gatekeeper,Fusarium piperis,Uncharacterized protein
A0A3M2RTF6,tr|A0A3M2RTF6|A0A3M2RTF6_9HYPO,3.4308,3.7694,3.6143,3.5023,3.5713,3.4308,3.5023,-0.0715,True,B_aliphatic_gatekeeper,Fusarium kuroshium,Uncharacterized protein
A0A428TV54,tr|A0A428TV54|A0A428TV54_9HYPO,3.4314,3.77,3.6149,3.5029,3.5719,3.4314,3.5029,-0.0715,True,B_aliphatic_gatekeeper,Fusarium oligoseptatum,Uncharacterized protein
A0A0P7BB74,tr|A0A0P7BB74|A0A0P7BB74_9HYPO,3.3438,3.6824,3.5273,3.4153,3.4843,3.3438,3.4153,-0.0715,True,B_aliphatic_gatekeeper,Neonectria ditissima,Stilbene synthase 3
A0ABR1HG41,tr|A0ABR1HG41|A0ABR1HG41_9HYPO,3.3651,3.7037,3.5486,3.4366,3.5056,3.3651,3.4366,-0.0715,True,B_aliphatic_gatekeeper,Neonectria magnoliae,Uncharacterized protein
A0A9P5LAY7,tr|A0A9P5LAY7|A0A9P5LAY7_9HYPO,3.344,3.6826,3.5275,3.4155,3.4845,3.344,3.4155,-0.0715,True,B_aliphatic_gatekeeper,Cylindrodendrum hubeiense,Uncharacterized protein
A0A9P9JMZ2,tr|A0A9P9JMZ2|A0A9P9JMZ2_9HYPO,3.3702,3.7087,3.5537,3.4417,3.5107,3.3702,3.4417,-0.0715,True,B_aliphatic_gatekeeper,Dactylonectria macrodidyma,Thiolase-like protein
A0A9P7ZGE5,tr|A0A9P7ZGE5|A0A9P7ZGE5_9HYPO,3.4161,3.7547,3.5996,3.4876,3.5566,3.4161,3.4876,-0.0715,True,B_aliphatic_gatekeeper,Emericellopsis atlantica,Thiolase-like protein
A0A9N9V0Z9,tr|A0A9N9V0Z9|A0A9N9V0Z9_9HYPO,3.5125,3.851,3.6959,3.5839,3.653,3.5125,3.5839,-0.0715,True,B_aliphatic_gatekeeper,Clonostachys rhizophaga,Uncharacterized protein
A0ABY6USD3,tr|A0ABY6USD3|A0ABY6USD3_BIOOC,3.505,3.8436,3.6885,3.5765,3.6455,3.505,3.5765,-0.0715,True,B_aliphatic_gatekeeper,Bionectria ochroleuca,Uncharacterized protein
A0ACC0V293,tr|A0ACC0V293|A0ACC0V293_9HYPO,3.3822,3.7207,3.5656,3.4536,3.5227,3.3822,3.4536,-0.0715,True,B_aliphatic_gatekeeper,Trichothecium roseum,Uncharacterized protein
A0A8K0WPS2,tr|A0A8K0WPS2|A0A8K0WPS2_9HYPO,3.8452,4.1838,4.0287,3.9167,3.9858,3.8452,3.9167,-0.0715,True,B_aliphatic_gatekeeper,Stachybotrys elegans,Type III polyketide Synthase
A0A084AVI2,tr|A0A084AVI2|A0A084AVI2_STACB,3.7262,4.0647,3.9097,3.7977,3.8667,3.7262,3.7977,-0.0715,True,B_aliphatic_gatekeeper,Stachybotrys chartarum (strain CBS 109288 / IBT 7711),Uncharacterized protein
A0A084B516,tr|A0A084B516|A0A084B516_STACB,4.2727,4.6112,4.4562,4.3442,4.4132,4.2727,4.3442,-0.0715,False,D_broken_triad,Stachybotrys chartarum (strain CBS 109288 / IBT 7711),Chalcone/stilbene synthase N-terminal domain-containing protein
A0A084QT50,tr|A0A084QT50|A0A084QT50_STAC4,4.3265,4.665,4.51,4.398,4.467,4.3265,4.398,-0.0715,False,D_broken_triad,Stachybotrys chlorohalonatus (strain IBT 40285),Chalcone/stilbene synthase N-terminal domain-containing protein
A0A084R260,tr|A0A084R260|A0A084R260_STAC4,3.8065,4.145,3.9899,3.8779,3.947,3.8065,3.8779,-0.0715,True,C_aromatic_gatekeeper(classicCHS-like),Stachybotrys chlorohalonatus (strain IBT 40285),Uncharacterized protein
A0A2A9P6W4,tr|A0A2A9P6W4|A0A2A9P6W4_OPHUN,3.6778,4.0164,3.8613,3.7493,3.8183,3.6778,3.7493,-0.0715,True,B_aliphatic_gatekeeper,Ophiocordyceps unilateralis,Chalcone synthase
A0A2C5ZCI2,tr|A0A2C5ZCI2|A0A2C5ZCI2_9HYPO,3.718,4.0566,3.9015,3.7895,3.8586,3.718,3.7895,-0.0715,True,B_aliphatic_gatekeeper,Ophiocordyceps camponoti-rufipedis,Chalcone synthase
A0A8H4QCM8,tr|A0A8H4QCM8|A0A8H4QCM8_9HYPO,3.7312,4.0698,3.9147,3.8027,3.8717,3.7312,3.8027,-0.0715,True,B_aliphatic_gatekeeper,Ophiocordyceps camponoti-floridani,Chalcone and stilbene synthase
A0AB34FFE9,tr|A0AB34FFE9|A0AB34FFE9_9HYPO,3.78,4.1186,3.9635,3.8515,3.9205,3.78,3.8515,-0.0715,True,B_aliphatic_gatekeeper,Purpureocillium lavendulum,Type iii polyketide synthase
A0A9Q8QUG0,tr|A0A9Q8QUG0|A0A9Q8QUG0_9HYPO,3.7673,4.1058,3.9507,3.8387,3.9078,3.7673,3.8387,-0.0715,True,B_aliphatic_gatekeeper,Purpureocillium takamizusanense,Type III polyketide synthase
A0ABR0BK30,tr|A0ABR0BK30|A0ABR0BK30_PURLI,3.6992,4.0378,3.8827,3.7707,3.8397,3.6992,3.7707,-0.0715,True,B_aliphatic_gatekeeper,Purpureocillium lilacinum,Chalcone synthase
A0ABR3AFA6,tr|A0ABR3AFA6|A0ABR3AFA6_9AGAR,3.5581,3.8967,3.7416,3.6296,3.6986,3.5581,3.6296,-0.0715,True,B_aliphatic_gatekeeper,Marasmius tenuissimus,Chalcone synthase
A0A136JJJ2,tr|A0A136JJJ2|A0A136JJJ2_9PEZI,3.3376,3.6761,3.521,3.409,3.4781,3.3376,3.409,-0.0715,True,B_aliphatic_gatekeeper,Microdochium bolleyi,Chalcone and stilbene synthase
A0A9P8YIF2,tr|A0A9P8YIF2|A0A9P8YIF2_9PEZI,3.3233,3.6619,3.5068,3.3948,3.4638,3.3233,3.3948,-0.0715,True,B_aliphatic_gatekeeper,Microdochium trichocladiopsis,Chalcone and stilbene synthase domain-containing protein
A0A136IT12,tr|A0A136IT12|A0A136IT12_9PEZI,3.6212,3.9598,3.8047,3.6927,3.7618,3.6212,3.6927,-0.0715,True,B_aliphatic_gatekeeper,Microdochium bolleyi,Type Iii polyketide synthase
A0A9P9BM44,tr|A0A9P9BM44|A0A9P9BM44_9PEZI,3.6323,3.9709,3.8158,3.7038,3.7729,3.6323,3.7038,-0.0715,True,B_aliphatic_gatekeeper,Microdochium trichocladiopsis,Chalcone and stilbene synthase domain-containing protein
A0A437A2Z4,tr|A0A437A2Z4|A0A437A2Z4_ARTFL,3.4104,3.749,3.5939,3.4819,3.5509,3.4104,3.4819,-0.0715,False,D_broken_triad,Arthrobotrys flagrans,Chalcone/stilbene synthase N-terminal domain-containing protein
A0AAN8MZK4,tr|A0AAN8MZK4|A0AAN8MZK4_9PEZI,3.4145,3.7531,3.598,3.486,3.555,3.4145,3.486,-0.0715,True,B_aliphatic_gatekeeper,Orbilia javanica,Thiolase-like protein
A0AAN8NJ55,tr|A0AAN8NJ55|A0AAN8NJ55_9PEZI,3.4459,3.7844,3.6293,3.5173,3.5864,3.4459,3.5173,-0.0715,True,B_aliphatic_gatekeeper,Arthrobotrys conoides,Thiolase-like protein
G1X3L4,tr|G1X3L4|G1X3L4_ARTOA,3.4425,3.7811,3.626,3.514,3.5831,3.4425,3.514,-0.0715,True,B_aliphatic_gatekeeper,Arthrobotrys oligospora (strain ATCC 24927 / CBS 115.81 / DSM 1491),Type III Polyketide synthases (Type III PKS)
