	AP008937.1	AP017973.1	AP017974.1	AP024320.1	CP002033.1	CP005958.1	CP011536.1	CP016803.1	CP017151.1	CP019030.1	CP021104.1	CP021790.1	CP021964.1	CP031195.1	CP033371.1	CP034099.1	CP034193.1	CP035054.1	CP035055.1	CP044354.1	CP045034.1	CP047584.1	CP047585.1	CP050919.1	CP053312.1	CP053314.1	CP065522.1	CP067088.1	CP070858.1	CP070935.1	CP070948.1	CP070999.1	CP071000.1	CP071001.1	CP076082.1	CP076446.1	CP082359.1	CP089305.1	CP094655.1	CP095385.1	CP100352.1	CP101688.1	CP102532.1	CP102714.1	CP103293.1	CP103400.1	CP110798.1	CP116617.1	CP116618.1	CP116755.1	CP117933.1	CP118092.1	CP119406.1	CP119425.1	CP120668.1	CP121468.1	CP124737.1	CP127401.1	CP128169.1	CP131058.1	CP132481.1	CP132541.1	CP136242.1	CP139052.1	CP139637.1	CP141807.1	CP145309.1	CP157198.1	CP157592.1	CP157980.1	CP158463.1	CP160833.1	CP165726.1	CP170189.1	CP171795.1	CP172330.1	CP176633.1	CP184765.1	CP188318.1	CP193773.1	CP197007.1	CP199922.1	NZ_AP024320.1	NZ_CP011536.1	NZ_CP016803.1	NZ_CP017151.1	NZ_CP019030.1	NZ_CP021104.1	NZ_CP021790.1	NZ_CP021964.1	NZ_CP031195.1	NZ_CP034099.1	NZ_CP034193.1	NZ_CP035054.1	NZ_CP035055.1	NZ_CP044354.1	NZ_CP045034.1	NZ_CP047584.1	NZ_CP047585.1	NZ_CP050919.1	NZ_CP053312.1	NZ_CP053314.1	NZ_CP065522.1	NZ_CP067088.1	NZ_CP070858.1	NZ_CP070935.1	NZ_CP070948.1	NZ_CP070999.1	NZ_CP071000.1	NZ_CP071001.1	NZ_CP076082.1	NZ_CP076446.1	NZ_CP082359.1	NZ_CP089305.1	NZ_CP094655.1	NZ_CP095385.1	NZ_CP100352.1	NZ_CP101688.1	NZ_CP102532.1	NZ_CP102714.1	NZ_CP103293.1	NZ_CP103400.1	NZ_CP110798.1	NZ_CP116617.1	NZ_CP116618.1	NZ_CP116755.1	NZ_CP117933.1	NZ_CP118092.1	NZ_CP119406.1	NZ_CP119425.1	NZ_CP120668.1	NZ_CP121468.1	NZ_CP124737.1	NZ_CP127401.1	NZ_CP128169.1	NZ_CP131058.1	NZ_CP132481.1	NZ_CP132541.1	NZ_CP136242.1	NZ_CP139052.1	NZ_CP139637.1	NZ_CP141807.1	NZ_CP145309.1	NZ_CP157198.1	NZ_CP157592.1	NZ_CP157980.1	NZ_CP158463.1	NZ_CP160833.1	NZ_CP165726.1	NZ_CP171795.1	NZ_CP176633.1	NZ_CP184765.1	NZ_CP188318.1	NZ_CP193773.1	NZ_CP199922.1
CP094655.1	98.805023	97.929802	87.437737	98.880096	98.674088	99.003792	98.651093	98.702484	98.928497	98.682571	98.666855	98.650635	98.820435	98.800766	98.294525	98.399033	98.122498	98.643082	97.532387	98.619812	98.60527	98.60659	97.317963	98.768341	98.034195	97.529785	98.840263	98.666519	98.59771	98.04599	98.709442	98.596016	98.594772	98.602432	98.342133	99.030045	98.589149	99.089752	100.0	98.939362	98.531845	98.853867	98.592087	97.580017	98.560379	97.622932	98.722786	97.838112	98.430885	98.611664	98.815689	98.756912	97.547546	97.547432	98.553619	97.495895	98.808609	97.552826	97.913742	98.825676	98.750549	98.751999	98.77755	98.021088	98.482498	98.038651	99.271393	98.946732	98.125114	97.425842	98.837173	98.71402	97.565964	98.43338	98.566879	97.623718	98.709679	98.732147	98.768295	97.730919	97.620041	97.631577	98.880096	98.651093	98.702484	98.928497	98.682571	98.666855	98.650635	98.820435	98.800766	98.399033	98.122498	98.643082	97.532387	98.619812	98.60527	98.60659	97.317963	98.768341	98.034195	97.529785	98.840263	98.666519	98.59771	98.04599	98.709442	98.596016	98.594772	98.602432	98.342133	99.030045	98.589149	99.089752	100.0	98.939362	98.531845	98.853867	98.592087	97.580017	98.560379	97.622932	98.722786	97.838112	98.430885	98.611664	98.815689	98.756912	97.547546	97.547432	98.553619	97.495895	98.808609	97.552826	97.913742	98.825676	98.750549	98.751999	98.77755	98.021088	98.482498	98.038651	99.271393	98.946732	98.125114	97.425842	98.837173	98.71402	97.565964	98.566879	98.709679	98.732147	98.768295	97.730919	97.631577
CP095385.1	98.997391	97.986145	85.252396	98.727432	98.846359	98.802261	98.691589	98.73494	98.760406	98.869507	98.706192	98.62384	98.845932	98.982529	98.392014	98.485214	98.208206	98.892883	97.599808	98.676559	98.690125	98.646423	97.240829	98.814499	98.090698	97.584854	98.721466	98.765167	98.68103	98.060516	98.838196	98.691727	98.644699	98.652138	98.356888	98.755203	98.716675	98.781929	98.939362	100.0	98.595528	98.953331	98.677063	97.569351	98.72065	97.753922	98.802795	97.935013	98.505089	98.661369	98.887207	98.785255	97.674194	97.674088	98.68486	97.480515	98.85791	97.673996	97.965317	98.889244	98.832535	98.798248	98.684021	98.124512	98.571548	98.150925	98.762627	99.282471	98.173706	97.441833	98.682541	98.732147	97.758316	98.517517	98.590469	97.695267	98.775345	98.618858	98.798248	97.647812	97.694351	97.718719	98.727432	98.691589	98.73494	98.760406	98.869507	98.706192	98.62384	98.845932	98.982529	98.485214	98.208206	98.892883	97.599808	98.676559	98.690125	98.646423	97.240829	98.814499	98.090698	97.584854	98.721466	98.765167	98.68103	98.060516	98.838196	98.691727	98.644699	98.652138	98.356888	98.755203	98.716675	98.781929	98.939362	100.0	98.595528	98.953331	98.677063	97.569351	98.72065	97.753922	98.802795	97.935013	98.505089	98.661369	98.887207	98.785255	97.674194	97.674088	98.68486	97.480515	98.85791	97.673996	97.965317	98.889244	98.832535	98.798248	98.684021	98.124512	98.571548	98.150925	98.762627	99.282471	98.173706	97.441833	98.682541	98.732147	97.758316	98.590469	98.775345	98.618858	98.798248	97.647812	97.718719
CP100352.1	98.463425	97.723648	86.403793	98.512596	98.332886	98.577591	98.312454	98.502731	98.524025	98.586678	98.328728	98.502342	98.679832	98.489037	98.124939	98.3815	97.915588	98.520935	97.218285	98.285095	98.245056	99.335724	97.081955	98.371925	97.832527	97.545639	98.481705	98.43959	98.338608	97.849831	98.544258	98.302917	98.301849	98.368828	98.29184	98.579773	98.372299	98.3535	98.531845	98.595528	100.0	98.576248	98.304214	97.398582	98.411018	97.446487	98.505249	97.728508	98.166893	98.476379	98.635307	98.377533	97.423828	97.423706	98.382744	97.556793	98.680313	97.425026	97.638107	98.598137	98.588013	98.45224	98.313629	97.922424	98.395859	97.908958	98.387154	98.537354	97.841614	97.52816	98.484009	98.448776	97.431564	98.366257	99.264091	97.424286	98.557213	98.489632	98.446259	97.329742	97.462029	97.531227	98.512596	98.312454	98.502731	98.524025	98.586678	98.328728	98.502342	98.679832	98.489037	98.3815	97.915588	98.520935	97.218285	98.285095	98.245056	99.335724	97.081955	98.371925	97.832527	97.545639	98.481705	98.43959	98.338608	97.849831	98.544258	98.302917	98.301849	98.368828	98.29184	98.579773	98.372299	98.3535	98.531845	98.595528	100.0	98.576248	98.304214	97.398582	98.411018	97.446487	98.505249	97.728508	98.166893	98.476379	98.635307	98.377533	97.423828	97.423706	98.382744	97.556793	98.680313	97.425026	97.638107	98.598137	98.588013	98.45224	98.313629	97.922424	98.395859	97.908958	98.387154	98.537354	97.841614	97.52816	98.484009	98.448776	97.431564	99.264091	98.557213	98.489632	98.446259	97.329742	97.531227
CP101688.1	98.682892	97.745148	85.727119	98.711807	98.613907	98.681244	98.662048	98.639229	98.690445	98.725761	98.511581	98.570084	99.125717	99.540955	98.209427	98.402252	98.029938	99.100151	97.517532	98.567261	98.439476	98.546219	97.199699	98.738167	98.056595	97.521362	98.718872	98.709389	98.548584	97.989883	98.802628	98.519928	98.546326	98.499298	98.3004	98.703857	98.616776	98.610832	98.853867	98.953331	98.576248	100.0	98.546936	97.528526	98.547562	97.547134	98.703972	97.77874	98.276459	98.537659	98.833511	98.63916	97.558533	97.558395	98.600571	97.583824	98.814728	97.556808	97.834183	98.870735	98.777664	98.635223	98.580849	98.075623	98.519562	98.041611	98.688049	98.902725	98.092804	97.566711	98.649796	98.712631	97.568405	98.426216	98.563156	97.555023	98.642708	98.533707	98.627106	97.558517	97.552292	97.593071	98.711807	98.662048	98.639229	98.690445	98.725761	98.511581	98.570084	99.125717	99.540955	98.402252	98.029938	99.100151	97.517532	98.567261	98.439476	98.546219	97.199699	98.738167	98.056595	97.521362	98.718872	98.709389	98.548584	97.989883	98.802628	98.519928	98.546326	98.499298	98.3004	98.703857	98.616776	98.610832	98.853867	98.953331	98.576248	100.0	98.546936	97.528526	98.547562	97.547134	98.703972	97.77874	98.276459	98.537659	98.833511	98.63916	97.558533	97.558395	98.600571	97.583824	98.814728	97.556808	97.834183	98.870735	98.777664	98.635223	98.580849	98.075623	98.519562	98.041611	98.688049	98.902725	98.092804	97.566711	98.649796	98.712631	97.568405	98.563156	98.642708	98.533707	98.627106	97.558517	97.593071
CP102532.1	98.574615	97.944504	85.167328	98.604782	98.701355	98.552849	99.39798	98.63588	98.580414	98.408745	99.982986	98.488022	98.632706	98.584564	98.322739	98.611298	98.148804	98.518112	97.402649	99.011284	99.988373	98.446266	97.132935	98.831497	98.075668	97.542816	98.68644	98.737839	99.992218	98.149445	98.567703	99.972916	99.98175	99.981842	98.325821	98.592758	99.250992	98.474945	98.592087	98.677063	98.304214	98.546936	100.0	97.507004	99.405914	97.443375	98.55603	97.880135	98.479065	99.006088	98.905022	98.860321	97.481346	97.481216	98.548225	97.541565	98.614853	97.481003	97.825539	98.664612	98.901321	98.823654	98.421936	97.944092	98.38974	97.910225	98.58873	98.532204	98.16571	97.485779	98.369598	98.503586	97.469604	98.603928	98.484329	97.46151	98.793365	98.515579	98.796051	97.477005	97.448624	97.457672	98.604782	99.39798	98.63588	98.580414	98.408745	99.982986	98.488022	98.632706	98.584564	98.611298	98.148804	98.518112	97.402649	99.011284	99.988373	98.446266	97.132935	98.831497	98.075668	97.542816	98.68644	98.737839	99.992218	98.149445	98.567703	99.972916	99.98175	99.981842	98.325821	98.592758	99.250992	98.474945	98.592087	98.677063	98.304214	98.546936	100.0	97.507004	99.405914	97.443375	98.55603	97.880135	98.479065	99.006088	98.905022	98.860321	97.481346	97.481216	98.548225	97.541565	98.614853	97.481003	97.825539	98.664612	98.901321	98.823654	98.421936	97.944092	98.38974	97.910225	98.58873	98.532204	98.16571	97.485779	98.369598	98.503586	97.469604	98.484329	98.793365	98.515579	98.796051	97.477005	97.457672
CP102714.1	97.342705	97.016403	81.78421	97.460709	97.242989	97.661026	97.428169	97.570847	97.546997	97.471649	97.525612	97.459137	97.461754	97.536339	97.074432	97.504524	97.360321	97.490601	98.975555	97.375046	97.453766	97.355103	97.229179	97.399933	97.136719	99.076782	97.465454	97.524529	97.475967	97.281395	97.426796	97.378754	97.445511	97.416458	97.288811	97.483643	97.345268	97.324486	97.580017	97.569351	97.398582	97.528526	97.507004	100.0	97.41449	99.028801	97.285042	97.109436	97.329819	97.394745	97.633301	97.446823	98.990128	98.990036	97.450073	99.111557	97.580475	98.988968	96.938324	97.515633	97.669113	97.437973	97.46212	97.224472	97.453682	97.29232	97.391167	97.52536	97.168388	99.063568	97.449905	97.479034	99.040199	97.441147	97.442482	98.99472	97.59346	97.333786	97.432777	98.286926	98.998817	98.999001	97.460709	97.428169	97.570847	97.546997	97.471649	97.525612	97.459137	97.461754	97.536339	97.504524	97.360321	97.490601	98.975555	97.375046	97.453766	97.355103	97.229179	97.399933	97.136719	99.076782	97.465454	97.524529	97.475967	97.281395	97.426796	97.378754	97.445511	97.416458	97.288811	97.483643	97.345268	97.324486	97.580017	97.569351	97.398582	97.528526	97.507004	100.0	97.41449	99.028801	97.285042	97.109436	97.329819	97.394745	97.633301	97.446823	98.990128	98.990036	97.450073	99.111557	97.580475	98.988968	96.938324	97.515633	97.669113	97.437973	97.46212	97.224472	97.453682	97.29232	97.391167	97.52536	97.168388	99.063568	97.449905	97.479034	99.040199	97.442482	97.59346	97.333786	97.432777	98.286926	98.999001
CP103293.1	98.640068	97.870239	87.153397	98.603416	98.679482	98.597031	99.359406	98.560364	98.505966	98.379547	99.372208	98.531403	98.700897	98.595261	98.424194	98.61351	98.099991	98.631165	97.538918	99.092743	99.413269	98.576462	97.104713	98.81398	97.974716	97.527496	98.733917	98.819016	99.396729	98.061981	98.574265	99.375778	99.375519	99.38681	98.328972	98.587326	99.25209	98.550201	98.560379	98.72065	98.411018	98.547562	99.405914	97.41449	100.0	97.431259	98.514748	97.802414	98.410828	98.94931	98.925392	98.848961	97.474533	97.474426	98.580307	97.546265	98.678955	97.472977	97.88298	98.632668	98.856705	98.722435	98.51149	97.794449	98.508369	97.81501	98.56189	98.566399	97.972549	97.507782	98.436737	98.597733	97.510986	98.577812	98.560822	97.431648	98.83902	98.500534	98.741409	97.545456	97.544724	97.532135	98.603416	99.359406	98.560364	98.505966	98.379547	99.372208	98.531403	98.700897	98.595261	98.61351	98.099991	98.631165	97.538918	99.092743	99.413269	98.576462	97.104713	98.81398	97.974716	97.527496	98.733917	98.819016	99.396729	98.061981	98.574265	99.375778	99.375519	99.38681	98.328972	98.587326	99.25209	98.550201	98.560379	98.72065	98.411018	98.547562	99.405914	97.41449	100.0	97.431259	98.514748	97.802414	98.410828	98.94931	98.925392	98.848961	97.474533	97.474426	98.580307	97.546265	98.678955	97.472977	97.88298	98.632668	98.856705	98.722435	98.51149	97.794449	98.508369	97.81501	98.56189	98.566399	97.972549	97.507782	98.436737	98.597733	97.510986	98.560822	98.83902	98.500534	98.741409	97.545456	97.532135
CP103400.1	97.490982	97.15004	82.442146	97.551285	97.450684	97.569626	97.516571	97.548439	97.550362	97.568344	97.473892	97.454559	97.554207	97.510971	97.052032	97.472794	97.40065	97.37912	99.003525	97.443512	97.520828	97.451569	97.319412	97.431793	97.16835	98.744972	97.354706	97.529877	97.47406	97.266983	97.523079	97.444695	97.466324	97.407318	97.350891	97.477676	97.413025	97.497665	97.622932	97.753922	97.446487	97.547134	97.443375	99.028801	97.431259	100.0	97.430534	97.223801	97.383362	97.27784	97.606705	97.602234	99.995255	99.995193	97.394562	98.943718	97.578117	99.994583	97.070175	97.527832	97.631744	97.409103	97.450272	97.314606	97.509781	97.343292	97.507652	97.472336	97.271988	98.771965	97.54705	97.372337	99.987045	97.441284	97.559235	99.978394	97.509186	97.364548	97.390961	98.479187	99.991974	99.997208	97.551285	97.516571	97.548439	97.550362	97.568344	97.473892	97.454559	97.554207	97.510971	97.472794	97.40065	97.37912	99.003525	97.443512	97.520828	97.451569	97.319412	97.431793	97.16835	98.744972	97.354706	97.529877	97.47406	97.266983	97.523079	97.444695	97.466324	97.407318	97.350891	97.477676	97.413025	97.497665	97.622932	97.753922	97.446487	97.547134	97.443375	99.028801	97.431259	100.0	97.430534	97.223801	97.383362	97.27784	97.606705	97.602234	99.995255	99.995193	97.394562	98.943718	97.578117	99.994583	97.070175	97.527832	97.631744	97.409103	97.450272	97.314606	97.509781	97.343292	97.507652	97.472336	97.271988	98.771965	97.54705	97.372337	99.987045	97.559235	97.509186	97.364548	97.390961	98.479187	99.997208
CP110798.1	98.645683	97.924438	83.374603	98.775055	98.546829	98.503906	98.491539	98.731354	98.723999	98.867599	98.566063	98.570229	98.817276	98.797745	98.106003	98.421097	97.965591	98.687012	97.330513	98.557434	98.571823	98.54158	97.130447	98.48056	97.820778	97.34317	98.439682	98.629601	98.524902	97.943314	99.05098	98.589256	98.592682	98.518509	98.345772	98.597351	98.480858	98.503906	98.722786	98.802795	98.505249	98.703972	98.55603	97.285042	98.514748	97.430534	100.0	97.943985	98.396622	98.386429	98.720428	98.451645	97.419388	97.419273	98.535225	97.472275	99.090546	97.408722	97.740273	99.050117	98.663124	98.48175	98.476715	98.059814	98.681404	98.082123	98.521454	98.738541	97.908966	97.338364	98.584671	98.897728	97.523544	98.414948	98.799789	97.461945	98.606018	98.526863	98.484451	97.313217	97.435944	97.467758	98.775055	98.491539	98.731354	98.723999	98.867599	98.566063	98.570229	98.817276	98.797745	98.421097	97.965591	98.687012	97.330513	98.557434	98.571823	98.54158	97.130447	98.48056	97.820778	97.34317	98.439682	98.629601	98.524902	97.943314	99.05098	98.589256	98.592682	98.518509	98.345772	98.597351	98.480858	98.503906	98.722786	98.802795	98.505249	98.703972	98.55603	97.285042	98.514748	97.430534	100.0	97.943985	98.396622	98.386429	98.720428	98.451645	97.419388	97.419273	98.535225	97.472275	99.090546	97.408722	97.740273	99.050117	98.663124	98.48175	98.476715	98.059814	98.681404	98.082123	98.521454	98.738541	97.908966	97.338364	98.584671	98.897728	97.523544	98.799789	98.606018	98.526863	98.484451	97.313217	97.467758
CP116617.1	97.815536	98.919434	82.596054	97.904457	97.84375	97.865814	97.920334	97.818718	97.944077	97.857445	97.863205	97.814758	97.83287	97.765549	97.518463	97.881912	98.474731	97.965714	97.170105	97.827484	97.891907	97.91423	97.005432	97.976257	98.207809	97.296989	97.811836	97.907349	97.919357	98.23671	97.956085	97.918747	97.872131	97.923889	97.924622	97.848953	97.898117	97.846733	97.838112	97.935013	97.728508	97.77874	97.880135	97.109436	97.802414	97.223801	97.943985	100.0	98.997452	97.842026	98.023041	97.908272	97.178688	97.178513	97.807541	97.251587	97.9767	97.169342	98.178558	97.793976	98.03344	97.873947	97.881615	98.230286	97.809105	98.193039	97.841034	97.890938	98.232407	97.29184	97.808472	97.930641	97.31073	97.833267	97.867004	97.193649	97.976974	97.811081	97.848045	97.299728	97.216759	97.20256	97.904457	97.920334	97.818718	97.944077	97.857445	97.863205	97.814758	97.83287	97.765549	97.881912	98.474731	97.965714	97.170105	97.827484	97.891907	97.91423	97.005432	97.976257	98.207809	97.296989	97.811836	97.907349	97.919357	98.23671	97.956085	97.918747	97.872131	97.923889	97.924622	97.848953	97.898117	97.846733	97.838112	97.935013	97.728508	97.77874	97.880135	97.109436	97.802414	97.223801	97.943985	100.0	98.997452	97.842026	98.023041	97.908272	97.178688	97.178513	97.807541	97.251587	97.9767	97.169342	98.178558	97.793976	98.03344	97.873947	97.881615	98.230286	97.809105	98.193039	97.841034	97.890938	98.232407	97.29184	97.808472	97.930641	97.31073	97.867004	97.976974	97.811081	97.848045	97.299728	97.20256
CP116618.1	98.423615	99.064194	82.755371	98.436096	98.473099	98.351578	98.512527	98.393356	98.426193	98.337067	98.443253	98.38031	98.345306	98.304283	98.056946	98.362144	98.675507	98.414261	97.432053	98.494843	98.483727	98.299316	97.127808	98.643524	98.316978	97.496857	98.448105	98.653694	98.491219	98.40477	98.477249	98.46434	98.42646	98.518311	98.34613	98.381699	98.503777	98.387772	98.430885	98.505089	98.166893	98.276459	98.479065	97.329819	98.410828	97.383362	98.396622	98.997452	100.0	98.441788	98.644592	98.518982	97.312866	97.312653	98.357368	97.444595	98.463989	97.293015	98.301109	98.348801	98.682648	98.523468	98.431351	98.418442	98.344879	98.393753	98.404175	98.370789	98.412445	97.384262	98.312515	98.339325	97.453247	98.336548	98.269791	97.391731	98.683563	98.332092	98.496735	97.445175	97.380997	97.395706	98.436096	98.512527	98.393356	98.426193	98.337067	98.443253	98.38031	98.345306	98.304283	98.362144	98.675507	98.414261	97.432053	98.494843	98.483727	98.299316	97.127808	98.643524	98.316978	97.496857	98.448105	98.653694	98.491219	98.40477	98.477249	98.46434	98.42646	98.518311	98.34613	98.381699	98.503777	98.387772	98.430885	98.505089	98.166893	98.276459	98.479065	97.329819	98.410828	97.383362	98.396622	98.997452	100.0	98.441788	98.644592	98.518982	97.312866	97.312653	98.357368	97.444595	98.463989	97.293015	98.301109	98.348801	98.682648	98.523468	98.431351	98.418442	98.344879	98.393753	98.404175	98.370789	98.412445	97.384262	98.312515	98.339325	97.453247	98.269791	98.683563	98.332092	98.496735	97.445175	97.395706
CP116755.1	98.549545	97.863388	86.4888	98.495132	99.023369	98.531059	98.973358	98.503006	98.491394	98.372437	98.974373	98.596359	98.676834	98.542953	98.583092	98.598358	98.137215	98.598	97.295563	98.930862	99.030792	98.483597	97.089676	98.7052	97.850601	97.351547	98.53479	98.900635	98.989105	98.057495	98.412979	98.986298	98.999924	98.992073	98.268295	98.505844	98.876755	98.549957	98.611664	98.661369	98.476379	98.537659	99.006088	97.394745	98.94931	97.27784	98.386429	97.842026	98.441788	100.0	98.946594	98.872925	97.262344	97.262215	98.459381	97.453171	98.577118	97.265594	97.802338	98.504639	98.949402	98.595398	98.433151	98.065994	98.392349	98.065842	98.523499	98.542343	98.031311	97.438362	98.388092	98.499817	97.29068	98.630005	98.569046	97.272385	98.820107	98.468719	98.592255	97.32048	97.320465	97.332298	98.495132	98.973358	98.503006	98.491394	98.372437	98.974373	98.596359	98.676834	98.542953	98.598358	98.137215	98.598	97.295563	98.930862	99.030792	98.483597	97.089676	98.7052	97.850601	97.351547	98.53479	98.900635	98.989105	98.057495	98.412979	98.986298	98.999924	98.992073	98.268295	98.505844	98.876755	98.549957	98.611664	98.661369	98.476379	98.537659	99.006088	97.394745	98.94931	97.27784	98.386429	97.842026	98.441788	100.0	98.946594	98.872925	97.262344	97.262215	98.459381	97.453171	98.577118	97.265594	97.802338	98.504639	98.949402	98.595398	98.433151	98.065994	98.392349	98.065842	98.523499	98.542343	98.031311	97.438362	98.388092	98.499817	97.29068	98.569046	98.820107	98.468719	98.592255	97.32048	97.332298
CP117933.1	98.831383	98.05513	82.605713	98.685501	98.848503	98.738266	98.932755	98.744705	98.697739	98.635864	98.950363	98.702972	98.856644	98.757187	98.367294	98.724968	98.217178	98.931679	97.608902	98.855324	98.941299	98.665924	97.309357	99.146233	98.205307	97.687935	98.977875	98.993851	98.925552	98.171089	98.814835	98.934723	98.917374	98.93914	98.537849	98.761887	98.942604	98.731339	98.815689	98.887207	98.635307	98.833511	98.905022	97.633301	98.925392	97.606705	98.720428	98.023041	98.644592	98.946594	100.0	98.929153	97.575562	97.575447	98.643173	97.63237	98.894791	97.574188	98.108017	98.889145	99.975914	99.163582	98.840897	98.267776	98.721375	98.190979	98.810028	98.809669	98.212692	97.623108	98.648743	98.801033	97.675095	98.636925	98.636414	97.621628	99.179718	98.681763	99.159668	97.643417	97.651222	97.671661	98.685501	98.932755	98.744705	98.697739	98.635864	98.950363	98.702972	98.856644	98.757187	98.724968	98.217178	98.931679	97.608902	98.855324	98.941299	98.665924	97.309357	99.146233	98.205307	97.687935	98.977875	98.993851	98.925552	98.171089	98.814835	98.934723	98.917374	98.93914	98.537849	98.761887	98.942604	98.731339	98.815689	98.887207	98.635307	98.833511	98.905022	97.633301	98.925392	97.606705	98.720428	98.023041	98.644592	98.946594	100.0	98.929153	97.575562	97.575447	98.643173	97.63237	98.894791	97.574188	98.108017	98.889145	99.975914	99.163582	98.840897	98.267776	98.721375	98.190979	98.810028	98.809669	98.212692	97.623108	98.648743	98.801033	97.675095	98.636414	99.179718	98.681763	99.159668	97.643417	97.671661
CP118092.1	98.543167	97.899979	86.039154	98.586624	98.605835	98.529518	98.865807	98.629211	98.564392	98.551285	98.924866	98.547195	98.637695	98.672638	98.429298	98.516479	98.099518	98.508713	97.424355	98.811401	98.931885	98.445129	97.111626	98.761818	98.024673	97.472992	98.714767	98.851181	98.917763	97.997238	98.426849	98.89492	98.899063	98.888298	98.283546	98.399055	98.865654	98.494019	98.756912	98.785255	98.377533	98.63916	98.860321	97.446823	98.848961	97.602234	98.451645	97.908272	98.518982	98.872925	98.929153	100.0	97.58876	97.588623	98.551666	97.548599	98.560684	97.583389	97.818451	98.536041	98.914917	98.731369	98.439491	98.004944	98.516312	98.004791	98.543304	98.586105	98.057205	97.462914	98.474411	98.484894	97.517807	98.505814	98.513947	97.510475	98.76442	98.527908	98.697159	97.626152	97.517563	97.531738	98.586624	98.865807	98.629211	98.564392	98.551285	98.924866	98.547195	98.637695	98.672638	98.516479	98.099518	98.508713	97.424355	98.811401	98.931885	98.445129	97.111626	98.761818	98.024673	97.472992	98.714767	98.851181	98.917763	97.997238	98.426849	98.89492	98.899063	98.888298	98.283546	98.399055	98.865654	98.494019	98.756912	98.785255	98.377533	98.63916	98.860321	97.446823	98.848961	97.602234	98.451645	97.908272	98.518982	98.872925	98.929153	100.0	97.58876	97.588623	98.551666	97.548599	98.560684	97.583389	97.818451	98.536041	98.914917	98.731369	98.439491	98.004944	98.516312	98.004791	98.543304	98.586105	98.057205	97.462914	98.474411	98.484894	97.517807	98.513947	98.76442	98.527908	98.697159	97.626152	97.531738
CP119406.1	97.433533	97.105278	82.608772	97.534355	97.396133	97.481934	97.563751	97.558044	97.582176	97.518257	97.562378	97.451164	97.486221	97.493118	97.032394	97.46376	97.329773	97.402214	99.034363	97.481583	97.523575	97.406937	97.239914	97.431145	97.189758	98.739548	97.302658	97.555656	97.452316	97.237144	97.480179	97.449417	97.504883	97.37886	97.314636	97.447449	97.398033	97.422012	97.547546	97.674194	97.423828	97.558533	97.481346	98.990128	97.474533	99.995255	97.419388	97.178688	97.312866	97.262344	97.575562	97.58876	100.0	99.999939	97.351532	98.90596	97.524811	99.99913	97.037949	97.573273	97.590515	97.317459	97.447739	97.282364	97.446671	97.339447	97.463287	97.49646	97.342499	98.767593	97.576088	97.39151	99.987579	97.445107	97.477295	99.979355	97.505585	97.367851	97.306244	98.470139	99.992859	99.998581	97.534355	97.563751	97.558044	97.582176	97.518257	97.562378	97.451164	97.486221	97.493118	97.46376	97.329773	97.402214	99.034363	97.481583	97.523575	97.406937	97.239914	97.431145	97.189758	98.739548	97.302658	97.555656	97.452316	97.237144	97.480179	97.449417	97.504883	97.37886	97.314636	97.447449	97.398033	97.422012	97.547546	97.674194	97.423828	97.558533	97.481346	98.990128	97.474533	99.995255	97.419388	97.178688	97.312866	97.262344	97.575562	97.58876	100.0	99.999939	97.351532	98.90596	97.524811	99.99913	97.037949	97.573273	97.590515	97.317459	97.447739	97.282364	97.446671	97.339447	97.463287	97.49646	97.342499	98.767593	97.576088	97.39151	99.987579	97.477295	97.505585	97.367851	97.306244	98.470139	99.998581
CP119425.1	97.433426	97.105339	82.608772	97.53421	97.395996	97.481796	97.563644	97.557899	97.582047	97.518127	97.562271	97.451004	97.486092	97.492996	97.032394	97.463715	97.329636	97.402092	99.034264	97.481483	97.523453	97.406822	97.239708	97.431015	97.189613	98.739456	97.302559	97.555527	97.452209	97.237	97.480064	97.449287	97.504753	97.378754	97.314514	97.447334	97.397881	97.421875	97.547432	97.674088	97.423706	97.558395	97.481216	98.990036	97.474426	99.995193	97.419273	97.178513	97.312653	97.262215	97.575447	97.588623	99.999939	100.0	97.35141	98.905869	97.524689	99.999054	97.037735	97.573181	97.590393	97.317352	97.447601	97.282425	97.446526	97.339294	97.463165	97.496323	97.342529	98.767502	97.576035	97.391396	99.987518	97.444977	97.477158	99.979279	97.505463	97.36776	97.306129	98.4702	99.99279	99.998528	97.53421	97.563644	97.557899	97.582047	97.518127	97.562271	97.451004	97.486092	97.492996	97.463715	97.329636	97.402092	99.034264	97.481483	97.523453	97.406822	97.239708	97.431015	97.189613	98.739456	97.302559	97.555527	97.452209	97.237	97.480064	97.449287	97.504753	97.378754	97.314514	97.447334	97.397881	97.421875	97.547432	97.674088	97.423706	97.558395	97.481216	98.990036	97.474426	99.995193	97.419273	97.178513	97.312653	97.262215	97.575447	97.588623	99.999939	100.0	97.35141	98.905869	97.524689	99.999054	97.037735	97.573181	97.590393	97.317352	97.447601	97.282425	97.446526	97.339294	97.463165	97.496323	97.342529	98.767502	97.576035	97.391396	99.987518	97.477158	97.505463	97.36776	97.306129	98.4702	99.998528
