Cluster_ID,Protein_ID
cluster_1,CP071001.1_proteins|CP071001.1_1
cluster_2,CP160833.1_proteins|CP160833.1_2
cluster_2,CP045034.1_proteins|CP045034.1_566
cluster_2,NZ_CP102714.1_proteins|NZ_CP102714.1_1
cluster_2,CP070999.1_proteins|CP070999.1_2
cluster_2,NZ_CP016803.1_proteins|NZ_CP016803.1_1184
cluster_2,NZ_CP193773.1_proteins|NZ_CP193773.1_2
cluster_2,NZ_CP103293.1_proteins|NZ_CP103293.1_2
cluster_2,CP120668.1_proteins|CP120668.1_2
cluster_2,NZ_CP119425.1_proteins|NZ_CP119425.1_1814
cluster_2,NZ_CP011536.1_proteins|NZ_CP011536.1_2
cluster_2,NZ_CP103400.1_proteins|NZ_CP103400.1_1312
cluster_2,CP065522.1_proteins|CP065522.1_2
cluster_2,NZ_CP118092.1_proteins|NZ_CP118092.1_2
cluster_2,NZ_CP102532.1_proteins|NZ_CP102532.1_2
cluster_2,CP070935.1_proteins|CP070935.1_2
cluster_2,CP031195.1_proteins|CP031195.1_1519
cluster_2,CP117933.1_proteins|CP117933.1_1699
cluster_2,CP158463.1_proteins|CP158463.1_608
cluster_2,NZ_CP124737.1_proteins|NZ_CP124737.1_1460
cluster_2,CP184765.1_proteins|CP184765.1_2
cluster_2,NZ_CP117933.1_proteins|NZ_CP117933.1_1699
cluster_2,NZ_CP021104.1_proteins|NZ_CP021104.1_2
cluster_2,CP102714.1_proteins|CP102714.1_1
cluster_2,CP102532.1_proteins|CP102532.1_2
cluster_2,CP021104.1_proteins|CP021104.1_2
cluster_2,NZ_CP188318.1_proteins|NZ_CP188318.1_2
cluster_2,CP188318.1_proteins|CP188318.1_2
cluster_2,CP089305.1_proteins|CP089305.1_604
cluster_2,CP082359.1_proteins|CP082359.1_2
cluster_2,NZ_CP021964.1_proteins|NZ_CP021964.1_2
cluster_2,NZ_CP076446.1_proteins|NZ_CP076446.1_2
cluster_2,CP070858.1_proteins|CP070858.1_2
cluster_2,NZ_CP047585.1_proteins|NZ_CP047585.1_2
cluster_2,NZ_CP095385.1_proteins|NZ_CP095385.1_2
cluster_2,CP016803.1_proteins|CP016803.1_1184
cluster_2,CP157198.1_proteins|CP157198.1_2
cluster_2,CP094655.1_proteins|CP094655.1_2
cluster_2,NZ_CP034099.1_proteins|NZ_CP034099.1_756
cluster_2,NZ_CP050919.1_proteins|NZ_CP050919.1_2
cluster_2,CP110798.1_proteins|CP110798.1_2
cluster_2,NZ_CP116755.1_proteins|NZ_CP116755.1_2
cluster_2,CP076082.1_proteins|CP076082.1_1495
cluster_2,NZ_CP034193.1_proteins|NZ_CP034193.1_2
cluster_2,NZ_CP065522.1_proteins|NZ_CP065522.1_2
cluster_2,AP024320.1_proteins|AP024320.1_541
cluster_2,CP124737.1_proteins|CP124737.1_1460
cluster_2,CP071000.1_proteins|CP071000.1_2
cluster_2,CP071001.1_proteins|CP071001.1_2
cluster_2,NZ_CP076082.1_proteins|NZ_CP076082.1_1495
cluster_2,NZ_CP119406.1_proteins|NZ_CP119406.1_1814
cluster_2,NZ_CP053314.1_proteins|NZ_CP053314.1_2
cluster_2,NZ_CP019030.1_proteins|NZ_CP019030.1_1003
cluster_2,NZ_CP094655.1_proteins|NZ_CP094655.1_2
cluster_2,NZ_CP116618.1_proteins|NZ_CP116618.1_2
cluster_2,NZ_CP121468.1_proteins|NZ_CP121468.1_2
cluster_2,NZ_CP199922.1_proteins|NZ_CP199922.1_1573
cluster_2,CP116618.1_proteins|CP116618.1_2
cluster_2,CP193773.1_proteins|CP193773.1_2
cluster_3,NZ_CP070948.1_proteins|NZ_CP070948.1_3
cluster_3,CP193773.1_proteins|CP193773.1_3
cluster_3,CP031195.1_proteins|CP031195.1_1520
cluster_3,CP045034.1_proteins|CP045034.1_567
cluster_3,NZ_CP071000.1_proteins|NZ_CP071000.1_3
cluster_3,NZ_CP121468.1_proteins|NZ_CP121468.1_3
cluster_3,NZ_CP102532.1_proteins|NZ_CP102532.1_3
cluster_3,CP145309.1_proteins|CP145309.1_3
cluster_3,CP101688.1_proteins|CP101688.1_3
cluster_3,AP008937.1_proteins|AP008937.1_3
cluster_3,CP128169.1_proteins|CP128169.1_3
cluster_3,CP127401.1_proteins|CP127401.1_1815
cluster_3,NZ_CP145309.1_proteins|NZ_CP145309.1_3
cluster_3,NZ_CP118092.1_proteins|NZ_CP118092.1_138
cluster_3,NZ_CP017151.1_proteins|NZ_CP017151.1_892
cluster_3,NZ_CP193773.1_proteins|NZ_CP193773.1_3
cluster_3,CP002033.1_proteins|CP002033.1_4
cluster_3,NZ_CP139052.1_proteins|NZ_CP139052.1_3
cluster_3,CP034099.1_proteins|CP034099.1_755
cluster_3,AP024320.1_proteins|AP024320.1_540
cluster_3,NZ_CP070935.1_proteins|NZ_CP070935.1_3
cluster_3,NZ_CP117933.1_proteins|NZ_CP117933.1_1700
cluster_3,NZ_CP021790.1_proteins|NZ_CP021790.1_718
cluster_3,CP136242.1_proteins|CP136242.1_3
cluster_3,CP157198.1_proteins|CP157198.1_3
cluster_3,NZ_CP095385.1_proteins|NZ_CP095385.1_3
cluster_3,NZ_CP116755.1_proteins|NZ_CP116755.1_3
cluster_3,CP117933.1_proteins|CP117933.1_1700
cluster_3,NZ_CP165726.1_proteins|NZ_CP165726.1_3
cluster_3,CP035055.1_proteins|CP035055.1_1388
cluster_3,CP067088.1_proteins|CP067088.1_3
cluster_3,CP082359.1_proteins|CP082359.1_3
cluster_3,NZ_CP082359.1_proteins|NZ_CP082359.1_3
cluster_3,NZ_CP141807.1_proteins|NZ_CP141807.1_3
cluster_3,CP050919.1_proteins|CP050919.1_3
cluster_3,CP103400.1_proteins|CP103400.1_1313
cluster_3,CP100352.1_proteins|CP100352.1_2
cluster_3,CP176633.1_proteins|CP176633.1_151
cluster_3,CP116755.1_proteins|CP116755.1_3
cluster_3,CP089305.1_proteins|CP089305.1_603
cluster_3,CP171795.1_proteins|CP171795.1_1275
cluster_3,CP021104.1_proteins|CP021104.1_3
cluster_3,CP021790.1_proteins|CP021790.1_718
cluster_3,CP070948.1_proteins|CP070948.1_3
cluster_3,CP047585.1_proteins|CP047585.1_3
cluster_3,CP172330.1_proteins|CP172330.1_1549
cluster_3,CP132541.1_proteins|CP132541.1_3
cluster_3,CP157980.1_proteins|CP157980.1_3
cluster_3,CP121468.1_proteins|CP121468.1_3
cluster_3,NZ_CP034193.1_proteins|NZ_CP034193.1_3
cluster_3,NZ_CP071001.1_proteins|NZ_CP071001.1_3
cluster_3,CP158463.1_proteins|CP158463.1_607
cluster_3,CP131058.1_proteins|CP131058.1_4
cluster_3,NZ_CP103293.1_proteins|NZ_CP103293.1_3
cluster_3,NZ_CP188318.1_proteins|NZ_CP188318.1_3
cluster_3,CP021964.1_proteins|CP021964.1_3
cluster_3,NZ_CP116617.1_proteins|NZ_CP116617.1_3
cluster_3,CP165726.1_proteins|CP165726.1_3
cluster_3,CP184765.1_proteins|CP184765.1_5
cluster_3,CP011536.1_proteins|CP011536.1_3
cluster_3,NZ_CP102714.1_proteins|NZ_CP102714.1_1988
cluster_3,NZ_CP184765.1_proteins|NZ_CP184765.1_5
cluster_3,CP118092.1_proteins|CP118092.1_138
cluster_3,CP124737.1_proteins|CP124737.1_1459
cluster_3,NZ_CP176633.1_proteins|NZ_CP176633.1_151
cluster_3,CP076082.1_proteins|CP076082.1_1496
cluster_3,NZ_CP011536.1_proteins|NZ_CP011536.1_3
cluster_3,NZ_CP047585.1_proteins|NZ_CP047585.1_3
cluster_3,CP071001.1_proteins|CP071001.1_3
cluster_3,CP141807.1_proteins|CP141807.1_3
cluster_3,NZ_CP065522.1_proteins|NZ_CP065522.1_3
cluster_3,NZ_CP100352.1_proteins|NZ_CP100352.1_2
cluster_3,CP017151.1_proteins|CP017151.1_892
cluster_3,NZ_CP120668.1_proteins|NZ_CP120668.1_3
cluster_3,CP053312.1_proteins|CP053312.1_3
cluster_3,NZ_CP089305.1_proteins|NZ_CP089305.1_603
cluster_3,CP116617.1_proteins|CP116617.1_3
cluster_3,NZ_CP019030.1_proteins|NZ_CP019030.1_1002
cluster_3,CP094655.1_proteins|CP094655.1_3
cluster_3,NZ_CP053314.1_proteins|NZ_CP053314.1_3
cluster_3,NZ_CP132541.1_proteins|NZ_CP132541.1_3
cluster_3,CP047584.1_proteins|CP047584.1_3
cluster_3,CP035054.1_proteins|CP035054.1_2092
cluster_3,NZ_CP132481.1_proteins|NZ_CP132481.1_1608
cluster_3,NZ_CP101688.1_proteins|NZ_CP101688.1_3
cluster_3,NZ_CP157592.1_proteins|NZ_CP157592.1_1784
cluster_3,NZ_CP171795.1_proteins|NZ_CP171795.1_1275
cluster_3,CP033371.1_proteins|CP033371.1_1104
cluster_3,NZ_CP053312.1_proteins|NZ_CP053312.1_3
cluster_3,NZ_CP016803.1_proteins|NZ_CP016803.1_1183
cluster_3,NZ_CP158463.1_proteins|NZ_CP158463.1_607
cluster_3,NZ_CP110798.1_proteins|NZ_CP110798.1_3
cluster_3,NZ_CP119425.1_proteins|NZ_CP119425.1_1815
cluster_3,CP119406.1_proteins|CP119406.1_1815
cluster_3,AP017973.1_proteins|AP017973.1_3
cluster_3,CP120668.1_proteins|CP120668.1_3
cluster_3,NZ_CP076446.1_proteins|NZ_CP076446.1_3
cluster_3,CP103293.1_proteins|CP103293.1_3
cluster_3,NZ_CP136242.1_proteins|NZ_CP136242.1_3
cluster_3,NZ_CP128169.1_proteins|NZ_CP128169.1_3
cluster_3,NZ_CP131058.1_proteins|NZ_CP131058.1_4
cluster_3,NZ_CP021964.1_proteins|NZ_CP021964.1_3
cluster_3,NZ_CP047584.1_proteins|NZ_CP047584.1_3
cluster_3,NZ_CP021104.1_proteins|NZ_CP021104.1_3
cluster_3,NZ_CP034099.1_proteins|NZ_CP034099.1_755
cluster_3,CP070858.1_proteins|CP070858.1_3
cluster_3,CP188318.1_proteins|CP188318.1_3
cluster_3,NZ_CP076082.1_proteins|NZ_CP076082.1_1496
cluster_3,CP016803.1_proteins|CP016803.1_1183
cluster_3,CP076446.1_proteins|CP076446.1_3
cluster_3,NZ_CP119406.1_proteins|NZ_CP119406.1_1815
cluster_3,NZ_CP050919.1_proteins|NZ_CP050919.1_3
cluster_3,NZ_CP045034.1_proteins|NZ_CP045034.1_567
cluster_3,CP139637.1_proteins|CP139637.1_2086
cluster_3,NZ_AP024320.1_proteins|NZ_AP024320.1_540
cluster_3,NZ_CP070858.1_proteins|NZ_CP070858.1_3
cluster_3,NZ_CP157980.1_proteins|NZ_CP157980.1_3
cluster_3,CP102714.1_proteins|CP102714.1_1988
cluster_3,CP065522.1_proteins|CP065522.1_3
cluster_3,CP110798.1_proteins|CP110798.1_3
cluster_3,CP116618.1_proteins|CP116618.1_3
cluster_3,CP071000.1_proteins|CP071000.1_3
cluster_3,NZ_CP070999.1_proteins|NZ_CP070999.1_3
cluster_3,CP095385.1_proteins|CP095385.1_3
cluster_3,CP197007.1_proteins|CP197007.1_899
cluster_3,NZ_CP116618.1_proteins|NZ_CP116618.1_3
cluster_3,NZ_CP127401.1_proteins|NZ_CP127401.1_1815
cluster_3,NZ_CP067088.1_proteins|NZ_CP067088.1_3
cluster_3,NZ_CP031195.1_proteins|NZ_CP031195.1_1520
cluster_3,NZ_CP139637.1_proteins|NZ_CP139637.1_2086
cluster_3,CP019030.1_proteins|CP019030.1_1002
cluster_3,CP070935.1_proteins|CP070935.1_3
cluster_3,CP044354.1_proteins|CP044354.1_2094
cluster_3,CP005958.1_proteins|CP005958.1_3
cluster_3,NZ_CP035054.1_proteins|NZ_CP035054.1_2092
cluster_3,CP070999.1_proteins|CP070999.1_3
cluster_3,NZ_CP044354.1_proteins|NZ_CP044354.1_2094
cluster_3,CP034193.1_proteins|CP034193.1_3
cluster_3,NZ_CP094655.1_proteins|NZ_CP094655.1_3
cluster_3,CP119425.1_proteins|CP119425.1_1815
cluster_3,CP160833.1_proteins|CP160833.1_3
cluster_3,NZ_CP199922.1_proteins|NZ_CP199922.1_1572
cluster_3,NZ_CP157198.1_proteins|NZ_CP157198.1_3
cluster_3,NZ_CP103400.1_proteins|NZ_CP103400.1_1313
cluster_3,CP102532.1_proteins|CP102532.1_3
cluster_3,NZ_CP035055.1_proteins|NZ_CP035055.1_1388
cluster_3,NZ_CP124737.1_proteins|NZ_CP124737.1_1459
cluster_3,NZ_CP160833.1_proteins|NZ_CP160833.1_3
cluster_3,CP053314.1_proteins|CP053314.1_3
cluster_3,CP199922.1_proteins|CP199922.1_1572
cluster_3,CP132481.1_proteins|CP132481.1_1608
cluster_3,CP139052.1_proteins|CP139052.1_3
cluster_3,CP157592.1_proteins|CP157592.1_1784
cluster_4,NZ_CP070999.1_proteins|NZ_CP070999.1_4
cluster_4,NZ_CP047585.1_proteins|NZ_CP047585.1_4
cluster_4,CP016803.1_proteins|CP016803.1_1182
cluster_4,NZ_CP045034.1_proteins|NZ_CP045034.1_568
cluster_4,CP070948.1_proteins|CP070948.1_4
cluster_4,NZ_CP136242.1_proteins|NZ_CP136242.1_4
